split,model,accuracy,precision,recall,f1,roc_auc,confusion_matrix,threshold
validation,Random Forest,0.9913333333333333,0.9442379182156134,0.9584905660377359,0.951310861423221,0.9976779000379428,"[[2720, 15], [11, 254]]",0.6
validation,Isolation Forest,0.977,0.8333333333333334,0.9245283018867925,0.8765652951699463,0.9938960367010451,"[[2686, 49], [20, 245]]",0.7949999999999999
validation,Híbrido,0.992,0.9413919413919414,0.969811320754717,0.9553903345724907,0.9975426856610672,"[[2719, 16], [8, 257]]",0.7
test,Random Forest,0.988,0.8869047619047619,0.8975903614457831,0.8922155688622755,0.9975321185943492,"[[2815, 19], [17, 149]]",0.6
test,Isolation Forest,0.9833333333333333,0.8020833333333334,0.927710843373494,0.8603351955307262,0.9947836511890895,"[[2796, 38], [12, 154]]",0.7949999999999999
test,Híbrido,0.9886666666666667,0.8793103448275862,0.9216867469879518,0.9,0.9975066107762028,"[[2813, 21], [13, 153]]",0.7
stress_shift,Random Forest,0.982,0.7878787878787878,0.8504672897196262,0.8179775280898877,0.9932970200740512,"[[4237, 49], [32, 182]]",0.6
stress_shift,Isolation Forest,0.8211111111111111,0.20886699507389161,0.9906542056074766,0.3449959316517494,0.9656946546242712,"[[3483, 803], [2, 212]]",0.7949999999999999
stress_shift,Híbrido,0.9797777777777777,0.7236363636363636,0.9299065420560748,0.8139059304703476,0.9919592587908469,"[[4210, 76], [15, 199]]",0.7
